USERID,n_azioni,n_attivita_distinte,n_giorni_attivi,durata_giorni,feature0_media,feature1_media,feature2_media,feature3_media,ABBANDONO
84,78,45,7,19.136,-0.113,0.119,0.004,-0.011,0
85,79,51,11,22.453,-0.201,0.08,-0.007,-0.044,0
86,200,71,18,28.573,0.28,0.086,-0.071,0.011,0
87,6,3,1,0.001,-0.32,-0.436,0.107,-0.067,1
88,83,30,4,13.184,-0.093,0.269,-0.038,-0.024,0
89,110,32,8,27.53,0.219,-0.297,0.016,-0.016,0
90,121,66,11,25.317,0.003,0.048,-0.03,0.009,0
91,21,8,2,1.368,-0.32,-0.436,0.155,-0.01,0
92,166,88,7,28.111,0.411,0.024,-0.08,0.01,1
93,86,55,13,23.025,-0.242,0.304,-0.051,-0.042,0
94,225,52,20,27.983,0.004,0.062,-0.029,-0.03,0
95,31,13,5,10.319,-0.32,0.303,-0.039,-0.067,1
96,64,30,12,28.297,0.059,-0.356,0.013,-0.052,0
97,30,13,4,20.267,-0.32,0.497,-0.077,-0.067,1
98,45,15,7,10.131,-0.11,-0.323,0.129,-0.009,1
99,147,65,15,26.22,-0.082,0.153,-0.026,0.051,0
100,74,28,5,27.932,0.063,-0.057,-0.029,0.448,1
101,79,48,6,21.226,0.09,0.144,-0.02,0.017,1
102,85,34,9,26.461,-0.13,-0.106,0.178,0.044,0
103,107,31,10,21.594,-0.244,0.397,-0.081,-0.067,0
104,67,22,6,21.076,0.143,-0.284,0.129,0.073,1
105,14,9,2,0.282,-0.32,0.291,-0.036,-0.067,1
106,90,22,14,28.129,0.189,-0.436,0.118,0.066,0
107,80,45,9,23.213,0.084,0.137,-0.075,-0.005,1
108,276,69,11,27.008,0.051,0.246,-0.08,-0.034,0
109,132,60,9,27.415,0.078,0.258,-0.11,-0.038,0
110,23,16,2,3.537,-0.32,0.228,-0.024,-0.067,1
111,221,52,18,26.342,-0.021,0.013,0.041,-0.016,0
112,52,24,8,28.208,-0.035,-0.24,0.01,-0.052,1
113,76,31,7,24.108,-0.125,0.066,-0.018,-0.025,1
114,40,25,4,26.966,0.455,-0.245,-0.018,0.485,1
115,105,46,11,27.565,0.373,-0.266,-0.041,-0.002,0
116,67,35,8,17.356,-0.119,0.21,0.025,0.056,1
117,80,36,10,21.323,-0.32,0.01,0.032,-0.065,1
118,114,39,7,25.05,0.449,-0.391,0.058,0.005,0
119,22,10,4,11.02,0.048,-0.204,0.016,-0.003,1
120,208,51,12,27.56,0.062,0.054,-0.035,-0.031,0
121,81,27,7,21.284,-0.17,0.224,0.008,-0.023,1
122,82,36,9,21.051,-0.172,0.34,-0.083,0.006,1
123,22,10,3,9.42,-0.32,-0.204,0.061,-0.067,1
124,8,6,2,3.041,-0.32,-0.436,0.107,-0.067,1
125,19,10,4,12.554,-0.036,-0.436,0.028,-0.067,1
126,6,3,2,4.262,-0.32,-0.436,0.19,-0.0,1
127,24,11,3,4.006,0.017,-0.436,0.149,0.434,1
128,121,46,12,24.223,0.115,-0.225,0.007,-0.013,0
129,31,15,2,22.071,0.071,-0.272,-0.023,-0.054,1
130,180,65,15,28.118,-0.073,0.257,-0.044,-0.045,0
131,77,28,10,27.524,-0.057,-0.204,0.029,0.397,1
132,249,81,19,28.234,-0.158,0.147,-0.048,-0.029,0
133,62,22,12,18.02,-0.037,-0.354,0.066,0.033,0
134,42,18,5,20.045,0.161,-0.436,0.023,-0.015,1
135,35,13,5,6.246,-0.32,0.509,-0.051,-0.05,1
136,97,48,6,20.177,-0.209,0.246,0.019,-0.047,0
137,71,25,6,27.946,0.439,-0.436,0.001,0.063,0
138,12,7,2,0.56,-0.32,-0.436,0.149,0.05,1
139,227,54,17,28.581,-0.118,-0.335,0.162,-0.012,0
140,60,29,8,28.061,0.197,-0.436,-0.01,-0.044,0
141,144,57,6,22.602,0.186,-0.1,0.002,0.002,0
142,147,59,13,28.273,0.239,-0.332,0.025,0.005,0
143,102,55,8,27.255,0.05,-0.136,0.004,0.007,0
144,58,30,5,8.271,-0.227,0.003,0.185,0.047,0
145,4,3,1,0.001,-0.32,-0.436,0.107,-0.067,1
146,88,42,6,28.592,0.002,-0.06,-0.001,0.001,0
147,241,78,10,28.246,0.122,-0.298,-0.012,-0.041,0
148,40,25,5,25.002,-0.084,-0.245,0.019,-0.062,1
149,5,4,1,0.001,-0.32,-0.436,0.307,0.374,1
150,19,2,13,21.007,-0.32,-0.436,0.423,0.133,1
151,39,16,2,6.0,-0.147,0.347,-0.086,-0.067,1
152,12,8,2,10.105,-0.32,0.2,-0.018,-0.067,1
153,25,9,2,2.099,-0.32,0.48,-0.013,0.053,1
154,16,16,4,11.167,-0.32,-0.436,0.107,-0.067,1
155,11,6,3,12.436,-0.32,-0.436,0.107,-0.067,1
156,48,29,7,12.068,-0.208,0.253,-0.06,-0.013,1
157,72,24,6,28.075,0.279,-0.4,-0.018,0.053,0
158,88,47,5,16.959,-0.197,0.258,-0.07,-0.06,1
159,23,11,4,2.999,0.09,-0.325,0.063,0.02,1
160,113,25,11,24.106,-0.236,-0.03,0.12,0.05,1
161,4,4,1,0.008,-0.32,0.2,-0.018,-0.067,1
162,88,50,6,15.439,0.323,0.229,-0.127,-0.015,1
163,29,10,3,9.041,0.098,-0.436,0.038,0.002,0
164,5,5,1,0.001,-0.32,0.073,0.007,-0.067,1
165,209,89,20,28.274,0.132,0.136,-0.078,-0.025,0
166,112,42,9,27.274,0.426,-0.368,-0.018,0.017,1
167,13,9,5,12.299,-0.32,-0.044,0.107,0.01,1
168,99,30,7,19.502,-0.184,0.078,0.051,0.01,1
169,106,55,6,23.542,0.125,-0.124,0.026,-0.026,0
170,13,8,1,0.011,0.302,-0.436,-0.009,0.01,1
171,36,16,2,1.512,-0.17,0.059,-0.032,-0.056,1
172,12,6,4,14.276,-0.32,-0.436,0.107,-0.067,1
173,95,37,8,20.995,-0.107,0.127,-0.046,-0.065,0
174,20,10,2,0.304,-0.32,0.328,-0.044,-0.067,1
175,68,26,8,12.246,-0.221,0.275,-0.063,-0.067,1
176,14,5,3,13.321,0.354,-0.436,-0.072,-0.053,0
177,119,61,10,28.079,-0.003,0.206,-0.07,-0.047,0
178,13,9,2,3.252,0.302,-0.24,-0.009,0.35,1
179,22,9,4,7.241,0.17,-0.089,-0.053,0.115,1
180,42,23,7,18.497,-0.063,-0.375,0.047,-0.043,0
181,214,71,17,23.506,-0.03,0.159,-0.071,-0.049,0
182,14,5,2,0.547,-0.32,0.291,-0.036,-0.067,1
183,119,16,11,27.268,-0.229,0.035,0.006,-0.012,1
184,33,15,5,7.021,-0.116,-0.05,0.016,-0.019,1
185,121,45,6,25.518,0.204,0.006,-0.088,-0.037,0
186,127,74,6,24.321,0.328,0.145,-0.075,0.02,0
187,91,49,11,26.562,0.05,-0.268,0.013,-0.019,0
188,11,9,1,0.024,0.17,-0.436,-0.03,-0.067,1
189,189,69,15,24.253,0.015,0.13,-0.071,-0.018,0
190,129,43,6,18.299,-0.205,0.215,-0.041,-0.024,0
191,67,23,6,21.007,-0.079,-0.398,0.069,-0.055,0
192,138,50,8,27.942,-0.066,-0.362,0.063,0.016,0
193,160,69,16,26.097,0.303,-0.102,-0.056,-0.02,0
194,19,11,4,6.253,0.248,-0.436,-0.051,-0.067,0
195,28,22,3,28.907,-0.224,0.291,-0.054,-0.067,0
196,35,18,4,9.296,-0.166,-0.436,0.078,-0.044,1
197,86,36,7,24.179,0.84,-0.406,-0.021,0.049,0
198,157,76,6,24.501,0.281,0.034,-0.085,-0.028,0
199,192,62,16,28.555,0.333,-0.21,-0.037,0.018,0
200,128,51,14,25.236,0.133,0.101,-0.042,0.025,0
201,124,63,6,28.004,0.495,-0.025,-0.107,0.025,0
202,12,7,4,8.077,-0.32,-0.012,0.065,-0.067,1
203,36,17,7,25.135,0.129,-0.436,0.037,-0.023,0
204,166,61,11,23.957,0.102,0.101,-0.041,-0.006,0
205,182,93,10,28.488,0.11,0.026,-0.064,-0.045,0
206,44,19,7,14.079,-0.106,-0.378,0.073,0.001,1
207,25,13,5,10.323,0.057,-0.13,-0.013,0.109,1
208,55,27,5,27.531,0.195,-0.251,-0.039,-0.034,0
209,89,33,12,25.942,-0.047,-0.436,0.073,-0.029,0
210,99,41,11,21.256,0.252,-0.359,0.001,0.002,0
211,121,50,13,24.118,0.103,0.006,-0.042,-0.016,0
212,111,44,17,28.263,0.02,-0.298,0.017,-0.009,0
213,48,17,4,9.317,-0.264,0.359,0.002,-0.059,1
214,115,27,12,27.531,0.254,-0.214,-0.002,0.048,0
215,110,33,13,27.226,-0.136,-0.089,-0.007,-0.02,1
216,109,51,10,26.248,0.249,-0.319,0.001,-0.018,0
217,59,27,7,13.378,-0.16,0.211,-0.063,-0.067,1
218,117,43,8,23.529,0.049,-0.392,0.025,-0.047,0
219,105,53,8,23.268,-0.127,0.146,-0.07,-0.063,0
220,71,26,7,15.371,-0.187,-0.257,0.064,-0.05,1
221,11,7,2,0.159,-0.32,0.721,-0.121,-0.067,1
222,77,39,3,26.282,0.625,-0.337,-0.056,0.034,0
223,73,38,6,27.96,-0.061,-0.192,0.134,0.045,0
224,67,42,9,22.213,0.042,-0.436,0.032,-0.058,1
225,21,10,3,3.149,-0.192,-0.436,0.202,-0.067,1
226,8,8,1,0.068,-0.32,0.518,-0.081,-0.067,1
227,43,20,8,21.414,-0.101,-0.317,0.142,0.04,0
228,50,28,6,10.393,-0.023,0.277,-0.084,-0.063,1
229,143,42,9,27.62,-0.103,-0.365,0.089,0.164,1
230,7,6,3,4.272,0.065,-0.072,-0.036,0.019,1
231,102,47,7,19.266,-0.069,0.238,-0.07,0.007,0
232,394,60,14,25.983,-0.077,-0.384,0.145,-0.032,0
233,70,21,12,26.424,-0.32,0.509,-0.079,-0.067,1
234,22,8,5,19.04,-0.32,-0.204,0.198,-0.022,1
235,33,21,3,8.097,0.007,0.104,-0.075,-0.049,1
236,233,40,24,26.555,-0.256,-0.043,0.04,-0.057,0
237,94,38,5,17.258,0.34,-0.436,-0.016,-0.003,0
238,160,49,14,26.383,-0.236,0.328,-0.044,-0.051,0
239,95,47,8,21.437,0.12,0.154,-0.099,-0.012,0
240,140,40,11,21.182,-0.021,-0.345,0.103,-0.017,0
241,13,10,1,0.036,-0.32,0.151,-0.009,-0.067,1
242,8,6,2,0.135,-0.32,-0.118,0.044,-0.067,1
243,115,53,13,24.021,0.137,-0.259,-0.006,-0.017,0
244,61,17,8,18.253,-0.232,-0.436,0.09,-0.048,1
245,55,42,8,27.406,-0.32,0.304,-0.003,-0.053,0
246,69,33,6,27.987,-0.027,-0.436,0.114,-0.032,0
247,48,17,7,27.995,0.186,-0.436,0.023,-0.013,0
248,64,15,6,12.27,0.017,-0.356,0.028,0.027,0
249,7,5,2,0.366,1.028,-0.436,-0.108,0.133,1
250,130,54,14,28.294,0.012,-0.377,-0.001,-0.055,0
251,151,68,16,26.904,0.251,0.205,-0.112,-0.018,0
252,92,47,6,27.332,0.12,-0.297,-0.008,-0.048,0
253,46,14,4,11.971,-0.261,-0.436,0.085,-0.067,1
254,84,44,6,24.177,-0.16,0.231,-0.06,-0.046,0
255,61,22,11,26.183,-0.187,-0.311,0.041,-0.054,0
256,86,49,10,24.559,0.37,-0.436,-0.01,-0.016,0
257,44,16,6,6.417,-0.259,0.143,-0.03,-0.067,1
258,47,16,3,5.012,-0.234,0.539,-0.096,-0.059,0
259,53,40,4,18.212,-0.32,0.38,-0.035,-0.052,0
260,106,70,13,24.995,0.125,0.188,-0.111,-0.048,0
261,84,34,6,28.003,0.081,-0.042,-0.042,-0.017,0
262,28,11,5,26.362,-0.079,-0.436,0.125,0.126,1
263,55,21,7,24.47,0.366,-0.436,-0.075,-0.056,0
264,78,44,7,28.253,0.199,-0.403,-0.009,-0.029,0
265,5,4,1,0.011,-0.32,-0.436,0.107,-0.067,1
266,18,9,5,7.964,-0.32,-0.294,0.107,-0.067,1
267,121,49,9,28.503,-0.041,0.09,-0.026,-0.019,0
268,35,17,4,25.356,-0.127,0.291,-0.079,-0.056,1
269,164,52,12,27.028,0.412,-0.436,-0.015,0.024,0
270,20,17,3,14.207,-0.05,0.2,-0.119,-0.067,1
271,34,18,5,19.174,-0.241,-0.286,0.063,-0.067,0
272,33,16,6,21.019,-0.32,0.104,0.001,-0.067,0
273,178,65,12,28.379,0.445,-0.193,-0.051,0.0,0
274,13,8,3,7.217,-0.32,-0.044,0.145,0.041,1
275,189,61,16,23.389,0.272,-0.153,-0.013,0.172,0
276,122,38,9,26.173,0.354,-0.227,-0.029,0.081,0
277,83,36,10,28.074,-0.141,0.177,-0.05,-0.058,0
278,13,7,1,0.005,-0.32,-0.436,0.184,0.087,1
279,161,69,9,28.105,-0.027,0.054,-0.033,-0.035,0
280,19,10,3,8.926,-0.32,-0.034,0.028,-0.067,1
281,98,55,9,24.979,0.093,-0.124,-0.001,-0.01,0
282,121,56,13,28.061,0.037,-0.289,0.028,-0.026,0
283,54,23,5,12.075,-0.195,0.035,0.014,-0.056,1
284,273,88,17,28.237,0.085,0.068,-0.036,-0.006,0
285,78,29,7,14.248,-0.113,0.315,-0.086,-0.044,1
286,77,37,9,28.035,0.153,-0.304,-0.01,0.045,0
287,17,14,2,0.127,-0.32,0.163,0.018,0.027,1
288,39,16,4,9.225,-0.113,0.217,-0.047,-0.042,0
289,104,61,12,26.092,-0.087,0.176,-0.038,-0.004,0
290,216,73,17,25.119,0.03,0.153,-0.035,-0.012,0
291,16,7,4,23.422,-0.32,0.041,0.107,-0.03,1
292,41,20,3,13.209,-0.188,-0.25,0.156,-0.004,1
293,161,66,13,27.927,-0.086,0.196,-0.046,-0.039,1
294,90,45,7,25.404,-0.125,0.13,0.046,0.046,1
295,24,21,2,15.134,0.017,0.306,-0.123,-0.067,1
296,123,71,6,28.029,0.294,0.123,-0.097,-0.038,0
297,68,27,5,26.431,0.096,0.013,0.026,-0.011,1
298,9,6,3,8.467,-0.32,0.13,-0.005,-0.067,1
299,13,10,2,25.982,-0.32,0.543,-0.086,-0.067,0
300,204,68,15,28.237,-0.227,0.437,-0.075,-0.051,0
301,46,28,7,26.204,-0.056,0.228,-0.078,-0.05,0
302,12,9,2,0.143,-0.32,0.2,-0.018,-0.067,1
303,85,49,9,27.904,0.108,0.073,-0.105,-0.006,0
304,33,19,3,22.054,-0.32,-0.359,0.168,-0.055,1
305,125,42,13,27.139,-0.18,-0.334,0.139,0.087,0
306,134,55,13,23.315,0.052,-0.227,0.01,-0.039,0
307,50,21,6,21.341,-0.077,-0.283,0.107,0.125,1
308,17,12,4,11.273,-0.161,-0.136,0.018,-0.032,1
309,31,16,3,4.178,-0.016,0.303,-0.039,0.133,1
310,13,4,3,10.488,-0.32,0.543,-0.086,-0.067,1
311,40,17,5,26.936,0.657,-0.436,-0.106,0.028,0
312,9,6,2,1.083,0.279,-0.436,-0.06,-0.067,1
313,88,37,12,27.008,0.186,-0.349,-0.013,-0.04,0
314,46,20,6,10.442,0.149,-0.436,0.009,-0.063,0
315,288,82,19,28.203,-0.03,0.121,-0.045,-0.025,0
316,169,64,13,28.184,0.342,-0.074,-0.044,0.038,0
317,238,95,11,28.18,-0.059,0.238,-0.072,-0.056,0
318,16,14,1,0.054,0.017,0.359,-0.081,0.02,1
319,201,61,16,28.503,0.109,-0.334,0.039,-0.034,0
320,4,3,2,1.033,-0.32,-0.436,0.232,-0.067,1
321,43,16,5,6.438,-0.163,0.038,-0.033,-0.067,1
322,38,16,4,10.431,-0.178,-0.302,0.107,-0.041,0
323,162,55,16,28.215,-0.154,0.287,-0.076,-0.055,0
324,122,26,8,19.374,-0.221,-0.144,0.119,-0.029,0
325,76,29,11,23.961,-0.196,-0.235,0.041,-0.046,0
326,6,5,2,6.985,-0.32,-0.436,0.274,0.066,1
327,98,49,6,23.36,0.409,-0.41,-0.036,-0.012,0
328,166,79,20,27.949,0.248,-0.16,-0.056,-0.042,0
329,15,8,2,15.346,-0.32,0.243,-0.027,-0.067,1
330,246,74,16,28.271,0.244,-0.27,-0.001,0.018,0
331,17,8,3,11.194,-0.32,0.462,-0.011,-0.067,1
332,49,14,4,5.908,-0.32,-0.28,0.137,0.039,1
333,120,54,10,27.108,-0.028,0.052,0.011,0.06,0
334,64,34,10,24.048,-0.173,-0.356,0.068,-0.042,0
335,103,50,17,28.467,-0.071,-0.139,-0.005,0.005,0
336,184,54,14,26.257,0.134,-0.007,-0.051,-0.031,0
337,50,26,7,27.331,-0.104,-0.181,0.007,-0.043,0
338,204,80,14,28.276,0.103,0.013,-0.033,-0.008,0
339,173,71,11,28.208,0.085,0.138,-0.07,-0.012,0
340,5,3,1,0.001,-0.32,-0.436,0.107,-0.067,1
341,5,3,1,0.002,-0.32,-0.436,0.207,0.093,1
342,48,31,5,21.403,-0.151,0.2,-0.06,-0.059,0
343,41,22,6,17.982,-0.188,0.495,-0.089,-0.048,1
344,47,21,7,26.954,-0.148,-0.057,0.064,-0.012,1
345,12,7,1,0.038,-0.32,-0.436,0.149,-0.067,1
346,118,45,4,19.047,0.068,0.082,-0.033,0.021,0
347,39,17,5,12.976,0.095,-0.436,0.081,0.092,1
348,137,67,9,28.373,-0.153,0.177,-0.043,-0.031,0
349,175,50,11,28.469,-0.066,-0.407,0.092,-0.021,0
350,203,66,10,21.338,-0.041,0.141,0.092,-0.04,0
351,9,8,2,0.083,-0.32,-0.153,0.051,-0.067,1
352,36,17,4,7.51,-0.133,-0.012,0.037,0.022,1
353,11,6,4,9.907,-0.32,-0.204,0.061,-0.067,1
354,94,51,9,21.269,-0.205,-0.003,0.0,-0.054,0
355,40,17,5,21.244,0.051,-0.181,-0.031,-0.037,0
356,6,5,1,0.001,-0.32,-0.012,0.023,-0.067,1
357,80,45,8,25.263,0.202,-0.213,-0.012,-0.015,0
358,49,29,10,23.968,-0.072,-0.228,0.015,-0.047,0
359,106,42,15,22.122,-0.117,0.116,-0.03,-0.037,0
360,161,48,10,28.513,-0.086,0.07,-0.002,-0.037,0
361,88,42,12,25.442,0.216,-0.32,-0.036,-0.049,0
362,95,28,12,13.001,-0.121,-0.088,0.022,-0.034,1
363,9,6,1,0.011,-0.32,-0.153,0.051,-0.067,1
364,11,11,2,0.123,-0.32,0.49,-0.075,-0.067,1
365,56,19,5,9.512,-0.248,0.155,-0.027,0.022,0
366,259,80,15,28.245,0.096,0.124,-0.019,0.03,0
367,151,50,6,28.386,-0.052,-0.014,-0.033,-0.033,0
368,149,44,11,28.464,0.006,-0.231,0.006,-0.046,0
369,14,10,2,0.096,0.065,-0.436,-0.001,-0.067,1
370,8,5,2,0.091,-0.32,-0.118,0.044,-0.067,1
371,13,7,6,23.256,-0.32,0.347,-0.047,-0.067,0
372,135,67,7,27.966,0.229,0.13,-0.105,-0.038,1
373,44,28,6,28.268,-0.106,-0.031,-0.03,-0.013,1
374,112,44,6,25.37,0.234,-0.072,0.044,0.012,0
375,88,32,8,20.065,0.293,-0.349,0.141,0.22,0
376,47,26,4,7.009,-0.091,0.16,-0.064,-0.025,1
377,18,14,2,0.101,-0.095,0.412,-0.116,-0.045,1
378,88,47,7,28.101,0.323,0.316,-0.144,-0.019,0
379,7,4,1,0.005,-0.32,-0.072,0.035,-0.067,1
380,6,3,2,0.967,-0.32,-0.436,0.19,0.033,1
381,198,61,14,27.071,0.231,-0.269,0.051,0.001,0
382,4,2,1,0.0,-0.32,-0.436,0.107,-0.067,1
383,4,4,2,0.089,-0.32,0.2,-0.018,-0.067,1
384,20,10,2,0.091,-0.32,0.073,0.007,-0.067,1
385,46,12,4,6.257,-0.203,-0.436,0.248,-0.028,1
386,18,10,2,0.948,-0.32,-0.012,0.079,-0.0,1
387,175,53,15,25.153,0.212,-0.043,-0.002,0.04,0
388,161,56,12,26.006,0.166,0.038,-0.018,0.006,1
389,6,3,3,4.127,-0.32,-0.012,0.023,-0.067,1
390,14,10,1,0.037,-0.32,0.473,-0.036,-0.067,1
391,5,4,2,26.165,-0.32,-0.436,0.107,-0.067,1
392,21,12,7,21.374,-0.063,-0.072,-0.036,-0.067,0
393,39,17,3,5.964,-0.147,0.086,0.03,0.108,1
394,159,70,6,27.473,0.028,0.172,-0.085,-0.048,0
395,7,4,2,1.41,-0.32,0.291,-0.036,-0.067,1
396,86,59,6,28.428,0.025,0.304,-0.103,0.047,0
397,137,64,6,27.285,0.202,0.047,-0.076,-0.039,0
398,85,35,8,22.166,-0.177,0.283,-0.023,-0.025,0
399,11,9,3,2.948,-0.197,-0.436,0.061,-0.067,1
400,46,34,4,20.486,-0.027,0.228,-0.089,-0.05,1
401,42,29,7,15.89,-0.16,0.231,-0.06,-0.029,1
402,153,50,13,17.041,-0.082,0.23,-0.063,-0.021,0
403,124,48,9,26.987,0.115,0.139,-0.01,0.103,0
404,11,8,3,19.956,-0.32,0.258,-0.03,-0.067,1
405,7,7,1,0.052,-0.32,0.291,-0.036,-0.067,1
406,232,75,20,26.432,0.081,0.069,-0.047,-0.035,0
407,102,37,9,25.373,-0.148,-0.086,0.058,-0.02,1
408,110,65,7,23.865,0.084,0.189,-0.103,-0.047,0
409,128,41,10,26.389,0.122,-0.098,0.056,0.002,0
410,190,83,9,28.525,0.106,-0.034,-0.028,-0.017,0
411,11,8,3,5.037,-0.32,0.49,-0.075,-0.067,1
412,71,26,7,23.447,0.231,-0.4,0.022,0.083,0
413,109,52,5,23.269,0.533,-0.436,0.01,0.043,0
414,5,4,1,0.004,-0.32,-0.436,0.107,-0.067,1
415,83,42,8,27.926,0.248,-0.282,0.004,0.008,0
416,65,23,12,23.442,-0.258,0.151,-0.024,-0.052,0
417,34,10,5,14.25,0.156,-0.436,0.063,0.122,1
418,234,57,14,28.429,0.158,-0.294,0.038,-0.017,0
419,5,4,1,0.003,-0.32,-0.436,0.207,0.013,1
420,7,4,1,0.01,-0.32,-0.436,0.107,-0.067,1
421,161,67,9,27.93,0.065,0.181,-0.092,-0.05,0
422,29,15,2,18.955,0.331,-0.436,-0.049,0.002,1
423,48,21,4,12.194,-0.095,0.306,-0.018,0.117,1
424,12,7,2,0.418,-0.32,0.2,0.023,-0.0,1
425,164,64,13,27.434,0.099,0.154,-0.089,-0.01,0
426,13,6,1,0.019,-0.32,-0.24,0.068,-0.067,1
427,126,36,6,17.424,0.012,-0.153,-0.013,-0.051,0
